actions =
  0 Surrender
  1 Hit
  2 Stand 
  3 Double / Hit
  4 Split 
  5 Double / Stand

IDX                          Player Card
0    [1,1,1,1,1,1,1,1,1,1]     5
1    [1,1,1,1,1,1,1,1,1,1]     6
2    [1,1,1,1,1,1,1,1,1,1]     7
3    [1,1,1,1,1,1,1,1,1,1]     8
4    [1,3,3,3,3,1,1,1,1,1]     9
5    [3,3,3,3,3,3,3,3,1,1]     10
6    [3,3,3,3,3,3,3,3,3,1]     11
7    [1,1,2,2,2,1,1,1,1,1]     12
8    [2,2,2,2,2,1,1,1,1,1]     13
9    [2,2,2,2,2,1,1,1,1,1]     14
10   [2,2,2,2,2,1,1,1,1,1]     15
11   [2,2,2,2,2,1,1,1,1,1]     16
12   [2,2,2,2,2,2,2,2,2,2]     17
13   [2,2,2,2,2,2,2,2,2,2]     18
14   [2,2,2,2,2,2,2,2,2,2]     19
15   [2,2,2,2,2,2,2,2,2,2]     20
16   [1,1,1,3,3,1,1,1,1,1]     A,2
17   [1,1,1,3,3,1,1,1,1,1]     A,3
18   [1,1,3,3,3,1,1,1,1,1]     A,4
19   [1,1,3,3,3,1,1,1,1,1]     A,5
20   [1,3,3,3,3,1,1,1,1,1]     A,6
21   [2,3,3,3,3,2,2,1,1,1]     A,7
22   [2,2,2,2,2,2,2,2,2,2]     A,8
23   [2,2,2,2,2,2,2,2,2,2]     A,9
24   [2,2,2,2,2,2,2,2,2,2]     A,10
25   [4,4,4,4,4,4,4,4,4,4]     A,A
26   [4,4,4,4,4,4,1,1,1,1]     2,2
27   [4,4,4,4,4,4,1,1,1,1]     3,3
28   [1,1,1,4,4,1,1,1,1,1]     4,4
29   [3,3,3,3,3,3,3,3,1,1]     5,5
30   [4,4,4,4,4,1,1,1,1,1]     6,6
31   [4,4,4,4,4,4,1,1,1,1]     7,7
32   [4,4,4,4,4,4,4,4,4,4]     8,8
33   [4,4,4,4,4,2,4,4,2,2]     9,9
34   [2,2,2,2,2,2,2,2,2,2]     10,10
